Engine_ID,Cycle,Setting_1,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,RUL
1,1,0.4749080237694725,696.9584627764559,603.1429185686734,690.8265885966654,664.2031646154288,629.4448892069586,605.1681721168608,650.3136258580088,610.3123868835933,677.7146915927436,669.8161714019745,652.0163501111994,616.8935063072165,608.6920288087424,653.2589432551586,611.6898040708364,670.7238634313399,606.7076477388428,620.7886255146027,660.0516860433653,618.5132928838619,687.4701672684199,10
1,2,0.5901428612819832,677.5132823361115,663.641041126378,623.9561890666972,608.4139964995048,638.5097728601925,653.1354631568148,685.6489841188322,690.2552906679566,655.8404249735805,653.609636634412,685.2181500318541,627.8590339031958,653.7106541818548,605.1823536822427,693.9832123613476,615.2539042914261,674.9960470399178,602.653220387382,666.5036674546255,654.1900947378358,652.8937134027212,9
1,3,0.546398788362281,693.9498941564188,631.4355981076327,614.4894872091223,616.1628714094613,685.1136671516857,654.0635121610106,665.8693631618945,650.5252372447857,642.4222009246977,630.9527616286327,655.1906838774486,617.7010484276747,658.684111802088,633.660427819392,662.7708053071418,657.6288360166814,620.9905593095585,618.1435435089797,617.537127862345,687.2945835876408,693.9067698512896,8
1,4,0.5197316968394073,689.482735042765,650.8570691164703,648.9452760277563,689.8554188527079,631.6922005156277,663.7429901498207,616.293442708143,682.6457466107742,690.6354385094736,681.3795019706948,656.0937971535386,608.8702533757056,674.5439474184329,613.4414676938974,633.4905614657087,660.6715046382856,689.8054289440714,658.3041560969692,691.441194592496,673.2224886409562,679.8783235773666,7
1,5,0.43120372808848734,659.7899978811085,690.7566473926092,698.56504541106,660.642905965959,616.9492746686093,672.6091333722661,607.056874740043,632.0049601030612,611.1197482306152,668.4731172553879,687.6653602658345,612.0635871100601,643.1659546229679,606.3374970472768,613.9272072663388,642.4130671302386,620.5139640482007,642.1424550592498,641.8770524892074,680.6561147861449,699.7934110533338,6
1,6,0.43119890406724054,692.1874235023117,624.9292229148875,624.20552715115,600.9197051616629,655.680126245835,697.5852079462535,664.2419278206315,689.55232284962,649.2625104290859,616.2616939344891,640.3482866212397,646.0778768032726,612.7580302795564,698.9960232389946,679.4025189270296,673.6444235624723,619.0687720663667,689.2671711076974,638.3138528249498,665.8783366710718,635.071181545171,5
1,7,0.4116167224336399,608.849250205192,641.038292303563,667.2135547405878,610.1471542866032,693.6154774160781,651.6300348301195,602.6511310541622,638.9201678734163,601.1353644767419,691.0927184493843,613.401522845064,620.6333718405792,628.3775905798725,632.2353844974723,662.0072755928513,693.4367014769015,603.6549667848095,681.7443561738442,651.8917705282838,669.2276564517853,676.7188288931127,4
1,8,0.573235229154987,619.5982862419145,675.5551138543049,676.1619615328717,666.3501769108055,669.6029796674973,632.2956472941246,658.5775581273464,601.0837651480298,646.8660641994127,682.2537242923169,602.8782676313339,636.4269861048075,636.3082296398635,680.9874445854634,653.3461091976321,692.5568512906776,647.2066945109999,634.1817351697875,604.6965966775055,684.9195651565319,640.1930913609242,3
1,9,0.5202230023486417,604.5227288910538,622.8798165491622,623.7637543992399,600.5061583846218,657.0061170089365,679.5186194768704,694.0230241424957,690.5381976419263,605.6303275681837,694.9799913291924,675.5137255673619,650.3417270854857,664.5917241331601,625.4640654763764,689.3892583050957,645.0839371404132,656.4841133262616,625.9423433431292,616.6283368756079,624.9668008859186,647.9875620303909,2
1,10,0.5416145155592091,632.5330330763264,607.6979909828793,672.821634861186,616.0808051417499,609.7176493770769,627.0832251262075,657.5474177875878,609.1286676786134,611.8817916268072,672.571950838836,662.0309551353465,669.0394828629366,657.0778304668912,668.1502722223929,678.859721122453,611.3238045840756,606.5708639428352,637.9692408167267,673.803361642637,648.942496364314,662.750546321837,1
2,1,0.4041168988591605,638.8677289689482,628.9751452913767,636.7783132719253,654.8733789366586,661.500722669917,643.8971420705636,638.8169926206522,631.9313637590415,611.7526246777105,661.3415195935789,670.4079768099224,603.93121398411,635.6096725897846,676.0227859889686,615.1674879732751,698.4841198962334,677.552761669501,659.0294942514807,608.2798667925126,622.1209441819602,687.3677114186339,10
2,2,0.5939819704323989,627.1349031773896,616.1221287254004,663.230583059358,669.1895197692693,699.0053850104264,607.8456381342266,664.3288218442353,695.0061967050805,664.9210302116063,641.8243036290619,621.2964161508911,679.9410398909042,698.651524879298,659.5638740607844,631.1722067795548,683.8898086445934,645.3288834748028,626.8063640822876,660.3152109466388,698.7668007996647,698.4083469199295,9
2,3,0.5664885281600843,682.8737509151929,692.9697652342574,663.3529710760895,665.19612595026,614.0084015236524,602.5350743415457,645.8252890491517,695.0607146937556,674.6044879265423,693.2728483354014,613.6371475586769,662.7900389490908,660.5774819356888,647.1576188550158,624.8489139814466,612.4662681203267,652.439026932758,662.4148907849134,624.5349109681321,694.4059339686613,676.8273413864518,8
2,4,0.4424678221356552,635.6753326693589,680.8120379564417,653.5774684074759,622.426930946056,651.8329652363736,696.2648414677925,654.5616789315935,657.3437888123286,658.3368765097159,686.6063889500408,601.4544665667881,608.1759031948872,623.7226791735994,641.1840914147268,674.3946292572678,692.0841882617373,644.0762746938228,640.9411652191241,638.9295614041977,603.9426811368506,641.7766782167333,7
2,5,0.43636499344142016,628.0934509687381,663.3403756510423,609.0289770054409,671.2179221347536,687.7373071927956,683.5980120512206,694.1464808776525,663.18372121698,696.2172548474542,604.521867010619,635.0587558806596,687.3578624106777,610.1782472620404,634.8868266542995,603.3532434735779,686.9896362062128,640.0763060875327,655.204718085198,628.86937367707,670.5575172515688,642.135700227707,6
2,6,0.43668090197068676,654.2696083158248,687.1460590187718,683.5302495589237,623.72490874968,674.0768617754204,669.5974206093698,638.6102637800774,644.844552197832,637.4870579523704,602.6366974497251,658.9917686854633,692.0872400531813,615.2859139184332,692.9529144247826,656.9889684871316,651.8838057126072,655.9640331308218,643.6126529135316,635.5672716464949,692.5248317415666,673.7582301588891,5
2,7,0.46084844859190754,614.0924224974763,680.3672076899114,632.0780064971735,632.5399698159267,669.7015740995269,640.895294441427,696.1190563823914,629.3210771698065,628.5712086281861,637.6463366878049,639.2244045099733,606.1077959854864,624.5957728384508,683.0619407787729,676.245868574069,659.127543574493,615.5240245930712,629.4465759541918,671.9045905184246,618.0575345127334,623.8777145768303,4
2,8,0.5049512863264476,680.2196980754039,618.6570058886036,618.6518510399854,674.6491405118024,670.2484083987109,617.3294320070846,690.5350641956063,632.8664545369916,686.859912818946,681.0553330781833,643.7474922023729,627.6877648147204,616.0681373259556,696.5026910666512,687.676563676175,639.900270387013,618.1928130495271,694.8453306962157,629.7121715623175,656.794523055263,611.0474113131395,3
2,9,0.48638900372842314,607.4550643679771,689.2558998489977,604.0775141554764,664.9632899047215,635.9491151219755,615.6437042671087,619.5791134789297,667.2518456077039,622.3595838519452,698.7276129314945,690.4158694493749,680.6201279793062,618.6567024051305,612.4297223485545,634.2081748715907,605.4761638822031,686.1785621013518,676.3605794159761,656.6404640296897,691.5488297588042,635.4622157640777,2
